route_id,trip_id,service_id,direction_id,block_id,shape_id,drt_advance_book_min,peak_offpeak,boarding_type
4,72075,223,1,121,12080,0.0,0,0
4,72076,223,1,126,12080,0.0,0,0
4,72077,223,1,118,12080,0.0,0,0
4,72078,223,1,123,12080,0.0,0,0
4,72079,223,1,2535,12080,0.0,0,0
4,72080,223,1,125,12080,0.0,0,0
4,72081,223,1,127,12080,0.0,0,0
4,72082,223,1,130,12080,0.0,0,0
4,72083,223,1,121,12080,0.0,0,0
4,72084,223,1,144,12080,0.0,0,0
4,72085,223,1,139,12080,0.0,0,0
4,72086,223,1,140,12080,0.0,0,0
4,72087,223,1,2535,12080,0.0,0,0
4,72088,223,1,145,12080,0.0,0,0
4,72089,223,1,136,12080,0.0,0,0
4,72090,223,1,7105,12080,0.0,0,0
4,72091,223,1,129,12080,0.0,0,0
4,72092,223,1,131,12080,0.0,0,0
4,72093,223,1,148,12080,0.0,0,0
4,72094,223,1,164,12080,0.0,0,0
4,72095,223,1,140,12080,0.0,0,0
4,72096,223,1,1146,12080,0.0,0,0
4,72097,223,1,145,12080,0.0,0,0
4,72098,223,1,166,12080,0.0,0,0
4,72099,223,1,141,12080,0.0,0,0
4,72100,223,1,165,12080,0.0,0,0
4,72101,223,1,164,12080,0.0,0,0
4,72102,223,1,146,12080,0.0,0,0
4,72103,223,1,145,12080,0.0,0,0
4,72104,223,1,144,12080,0.0,0,0
4,72105,223,1,148,12080,0.0,0,0
4,72106,223,1,146,12080,0.0,0,0
4,72107,223,1,145,12080,0.0,0,0
4,72108,223,1,148,12080,0.0,0,0
4,72109,223,0,113,12086,0.0,0,0
4,72110,223,0,157,12086,0.0,0,0
4,72111,223,0,112,12086,0.0,0,0
4,72112,223,0,119,12086,0.0,0,0
4,72113,223,0,159,12086,0.0,0,0
4,72114,223,0,114,12086,0.0,0,0
4,72115,223,0,127,12086,0.0,0,0
4,72116,223,0,161,12086,0.0,0,0
4,72117,223,0,110,12086,0.0,0,0
4,72118,223,0,122,12086,0.0,0,0
4,72119,223,0,119,12086,0.0,0,0
4,72120,223,0,121,12086,0.0,0,0
4,72121,223,0,132,12086,0.0,0,0
4,72122,223,0,125,12086,0.0,0,0
4,72123,223,0,118,12086,0.0,0,0
4,72124,223,0,126,12086,0.0,0,0
4,72125,223,0,110,12086,0.0,0,0
4,72126,223,0,115,12086,0.0,0,0
4,72127,223,0,119,12086,0.0,0,0
4,72128,223,0,121,12086,0.0,0,0
4,72129,223,0,132,12086,0.0,0,0
4,72130,223,0,136,12086,0.0,0,0
4,72131,223,0,118,12086,0.0,0,0
4,72132,223,0,112,12086,0.0,0,0
4,72133,223,0,110,12086,0.0,0,0
4,72134,223,0,129,12086,0.0,0,0
4,72135,223,0,127,12086,0.0,0,0
4,72136,223,0,2783,12086,0.0,0,0
4,72137,223,0,121,12086,0.0,0,0
4,72138,223,0,135,12086,0.0,0,0
4,72139,223,0,118,12086,0.0,0,0
4,72140,223,0,138,12086,0.0,0,0
4,72141,223,0,2535,12086,0.0,0,0
4,72142,223,0,7106,12086,0.0,0,0
4,72143,223,0,127,12086,0.0,0,0
4,72144,223,0,124,12086,0.0,0,0
4,72145,223,0,125,12086,0.0,0,0
4,72146,223,0,135,12086,0.0,0,0
4,72147,223,0,139,12086,0.0,0,0
4,72148,223,0,138,12086,0.0,0,0
4,72149,223,0,1146,12086,0.0,0,0
4,72150,223,0,145,12086,0.0,0,0
4,72151,223,0,136,12086,0.0,0,0
4,72152,223,0,141,12086,0.0,0,0
4,72153,223,0,129,12086,0.0,0,0
4,72154,223,0,165,12086,0.0,0,0
4,72155,223,0,148,12086,0.0,0,0
4,72156,223,0,164,12086,0.0,0,0
4,72157,223,0,139,12086,0.0,0,0
4,72158,223,0,149,12086,0.0,0,0
4,72159,223,0,166,12086,0.0,0,0
4,72160,223,0,138,12086,0.0,0,0
4,72161,223,0,148,12086,0.0,0,0
4,72162,223,0,142,12086,0.0,0,0
4,72163,223,0,145,12086,0.0,0,0
4,72164,223,0,144,12086,0.0,0,0
4,72165,223,0,148,12086,0.0,0,0
4,72166,223,0,147,12086,0.0,0,0
4,72167,224,1,169,12080,0.0,0,0
4,72168,224,1,168,12080,0.0,0,0
4,72169,224,1,178,12080,0.0,0,0
4,72170,224,1,169,12080,0.0,0,0
4,72171,224,1,183,12080,0.0,0,0
4,72172,224,1,168,12080,0.0,0,0
4,72173,224,1,178,12080,0.0,0,0
4,72174,224,1,169,12080,0.0,0,0
4,72175,224,1,174,12080,0.0,0,0
4,72176,224,1,179,12080,0.0,0,0
4,72177,224,1,184,12080,0.0,0,0
4,72178,224,1,168,12080,0.0,0,0
4,72179,224,1,178,12080,0.0,0,0
4,72180,224,1,186,12080,0.0,0,0
4,72181,224,1,169,12080,0.0,0,0
4,72182,224,1,174,12080,0.0,0,0
4,72183,224,1,180,12080,0.0,0,0
4,72184,224,1,190,12080,0.0,0,0
4,72185,224,1,184,12080,0.0,0,0
4,72186,224,1,7141,12080,0.0,0,0
4,72187,224,1,186,12080,0.0,0,0
4,72188,224,1,174,12080,0.0,0,0
4,72189,224,1,7142,12080,0.0,0,0
4,72190,224,1,1730,12080,0.0,0,0
4,72191,224,1,189,12080,0.0,0,0
4,72192,224,1,187,12080,0.0,0,0
4,72193,224,1,7143,12080,0.0,0,0
4,72194,224,1,190,12080,0.0,0,0
4,72195,224,1,7142,12080,0.0,0,0
4,72196,224,1,7141,12080,0.0,0,0
4,72197,224,1,7144,12080,0.0,0,0
4,72198,224,1,190,12080,0.0,0,0
4,72199,224,1,7142,12080,0.0,0,0
4,72200,224,1,7141,12080,0.0,0,0
4,72201,224,1,7144,12080,0.0,0,0
4,72202,224,0,168,12086,0.0,0,0
4,72203,224,0,169,12086,0.0,0,0
4,72204,224,0,177,12086,0.0,0,0
4,72205,224,0,168,12086,0.0,0,0
4,72206,224,0,178,12086,0.0,0,0
4,72207,224,0,169,12086,0.0,0,0
4,72208,224,0,179,12086,0.0,0,0
4,72209,224,0,168,12086,0.0,0,0
4,72210,224,0,170,12086,0.0,0,0
4,72211,224,0,178,12086,0.0,0,0
4,72212,224,0,194,12086,0.0,0,0
4,72213,224,0,174,12086,0.0,0,0
4,72214,224,0,179,12086,0.0,0,0
4,72215,224,0,171,12086,0.0,0,0
4,72216,224,0,168,12086,0.0,0,0
4,72217,224,0,170,12086,0.0,0,0
4,72218,224,0,186,12086,0.0,0,0
4,72219,224,0,173,12086,0.0,0,0
4,72220,224,0,174,12086,0.0,0,0
4,72221,224,0,7142,12086,0.0,0,0
4,72222,224,0,190,12086,0.0,0,0
4,72223,224,0,7148,12086,0.0,0,0
4,72224,224,0,7141,12086,0.0,0,0
4,72225,224,0,186,12086,0.0,0,0
4,72226,224,0,179,12086,0.0,0,0
4,72227,224,0,7148,12086,0.0,0,0
4,72228,224,0,7142,12086,0.0,0,0
4,72229,224,0,187,12086,0.0,0,0
4,72230,224,0,7144,12086,0.0,0,0
4,72231,224,0,190,12086,0.0,0,0
4,72232,224,0,189,12086,0.0,0,0
4,72233,224,0,7141,12086,0.0,0,0
4,72234,224,0,3712,12086,0.0,0,0
4,72235,224,0,190,12086,0.0,0,0
4,72236,224,0,7142,12086,0.0,0,0
4,72237,225,1,199,12080,0.0,0,0
4,72238,225,1,198,12080,0.0,0,0
4,72239,225,1,199,12080,0.0,0,0
4,72240,225,1,209,12080,0.0,0,0
4,72241,225,1,198,12080,0.0,0,0
4,72242,225,1,200,12080,0.0,0,0
4,72243,225,1,199,12080,0.0,0,0
4,72244,225,1,201,12080,0.0,0,0
4,72245,225,1,198,12080,0.0,0,0
4,72246,225,1,206,12080,0.0,0,0
4,72247,225,1,199,12080,0.0,0,0
4,72248,225,1,201,12080,0.0,0,0
4,72249,225,1,198,12080,0.0,0,0
4,72250,225,1,200,12080,0.0,0,0
4,72251,225,1,3735,12080,0.0,0,0
4,72252,225,1,7172,12080,0.0,0,0
4,72253,225,1,209,12080,0.0,0,0
4,72254,225,1,217,12080,0.0,0,0
4,72255,225,1,7169,12080,0.0,0,0
4,72256,225,1,7174,12080,0.0,0,0
4,72257,225,1,3735,12080,0.0,0,0
4,72258,225,1,7171,12080,0.0,0,0
4,72259,225,1,7169,12080,0.0,0,0
4,72260,225,1,3735,12080,0.0,0,0
4,72261,225,1,7169,12080,0.0,0,0
4,72262,225,1,7172,12080,0.0,0,0
4,72263,225,0,198,12086,0.0,0,0
4,72264,225,0,199,12086,0.0,0,0
4,72265,225,0,198,12086,0.0,0,0
4,72266,225,0,202,12086,0.0,0,0
4,72267,225,0,199,12086,0.0,0,0
4,72268,225,0,208,12086,0.0,0,0
4,72269,225,0,198,12086,0.0,0,0
4,72270,225,0,200,12086,0.0,0,0
4,72271,225,0,199,12086,0.0,0,0
4,72272,225,0,210,12086,0.0,0,0
4,72273,225,0,198,12086,0.0,0,0
4,72274,225,0,200,12086,0.0,0,0
4,72275,225,0,199,12086,0.0,0,0
4,72276,225,0,201,12086,0.0,0,0
4,72277,225,0,210,12086,0.0,0,0
4,72278,225,0,214,12086,0.0,0,0
4,72279,225,0,7169,12086,0.0,0,0
4,72280,225,0,7172,12086,0.0,0,0
4,72281,225,0,3735,12086,0.0,0,0
4,72282,225,0,217,12086,0.0,0,0
4,72283,225,0,7169,12086,0.0,0,0
4,72284,225,0,7174,12086,0.0,0,0
4,72285,225,0,3735,12086,0.0,0,0
4,72286,225,0,7171,12086,0.0,0,0
4,72287,225,0,7172,12086,0.0,0,0
4,72288,225,0,7171,12086,0.0,0,0
5,72289,223,1,116,12092,0.0,0,0
5,72290,223,1,120,12092,0.0,0,0
5,72291,223,1,128,12092,0.0,0,0
5,72292,223,1,111,12092,0.0,0,0
5,72293,223,1,127,12092,0.0,0,0
5,72294,223,1,128,12092,0.0,0,0
5,72295,223,1,111,12092,0.0,0,0
5,72296,223,1,119,12092,0.0,0,0
5,72297,223,1,134,12092,0.0,0,0
5,72298,223,1,2783,12092,0.0,0,0
5,72299,223,1,2536,12092,0.0,0,0
5,72300,223,1,149,12092,0.0,0,0
5,72301,223,1,7106,12092,0.0,0,0
5,72302,223,1,7105,12092,0.0,0,0
5,72303,223,1,143,12092,0.0,0,0
5,72304,223,0,116,12098,0.0,0,0
5,72305,223,0,120,12098,0.0,0,0
5,72306,223,0,128,12098,0.0,0,0
5,72307,223,0,111,12098,0.0,0,0
5,72308,223,0,127,12098,0.0,0,0
5,72309,223,0,128,12098,0.0,0,0
5,72310,223,0,111,12098,0.0,0,0
5,72311,223,0,139,12098,0.0,0,0
5,72312,223,0,134,12098,0.0,0,0
5,72313,223,0,2783,12098,0.0,0,0
5,72314,223,0,2536,12098,0.0,0,0
5,72315,223,0,149,12098,0.0,0,0
5,72316,223,0,7106,12098,0.0,0,0
5,72317,223,0,7105,12098,0.0,0,0
5,72318,223,0,143,12098,0.0,0,0
5,72319,224,1,174,12092,0.0,0,0
5,72320,224,1,172,12092,0.0,0,0
5,72321,224,1,176,12092,0.0,0,0
5,72322,224,1,180,12092,0.0,0,0
5,72323,224,1,195,12092,0.0,0,0
5,72324,224,1,188,12092,0.0,0,0
5,72325,224,1,189,12092,0.0,0,0
5,72326,224,1,179,12092,0.0,0,0
5,72327,224,1,7144,12092,0.0,0,0
5,72328,224,1,1729,12092,0.0,0,0
5,72329,224,1,1730,12092,0.0,0,0
5,72330,224,1,186,12092,0.0,0,0
5,72331,224,0,174,12098,0.0,0,0
5,72332,224,0,172,12098,0.0,0,0
5,72333,224,0,176,12098,0.0,0,0
5,72334,224,0,180,12098,0.0,0,0
5,72335,224,0,195,12098,0.0,0,0
5,72336,224,0,188,12098,0.0,0,0
5,72337,224,0,189,12098,0.0,0,0
5,72338,224,0,179,12098,0.0,0,0
5,72339,224,0,7144,12098,0.0,0,0
5,72340,224,0,1729,12098,0.0,0,0
5,72341,224,0,1730,12098,0.0,0,0
5,72342,224,0,186,12098,0.0,0,0
5,72343,225,1,207,12092,0.0,0,0
5,72344,225,1,212,12092,0.0,0,0
5,72345,225,1,215,12092,0.0,0,0
5,72346,225,1,209,12092,0.0,0,0
5,72347,225,1,212,12092,0.0,0,0
5,72348,225,1,7171,12092,0.0,0,0
5,72349,225,1,3736,12092,0.0,0,0
5,72350,225,1,212,12092,0.0,0,0
5,72351,225,1,7170,12092,0.0,0,0
5,72352,225,0,207,12098,0.0,0,0
5,72353,225,0,212,12098,0.0,0,0
5,72354,225,0,215,12098,0.0,0,0
5,72355,225,0,209,12098,0.0,0,0
5,72356,225,0,212,12098,0.0,0,0
5,72357,225,0,7171,12098,0.0,0,0
5,72358,225,0,3736,12098,0.0,0,0
5,72359,225,0,212,12098,0.0,0,0
5,72360,225,0,7170,12098,0.0,0,0
6,72361,223,0,112,12104,0.0,0,0
6,72362,223,0,111,12104,0.0,0,0
6,72363,223,0,114,12104,0.0,0,0
6,72364,223,0,121,12104,0.0,0,0
6,72365,223,0,122,12104,0.0,0,0
6,72366,223,0,121,12104,0.0,0,0
6,72367,223,0,129,12104,0.0,0,0
6,72368,223,0,126,12104,0.0,0,0
6,72369,223,0,129,12104,0.0,0,0
6,72370,223,0,161,12104,0.0,0,0
6,72371,223,0,122,12104,0.0,0,0
6,72372,223,0,135,12104,0.0,0,0
6,72373,223,0,125,12104,0.0,0,0
6,72374,223,0,122,12104,0.0,0,0
6,72375,223,0,135,12104,0.0,0,0
6,72376,223,0,122,12104,0.0,0,0
6,72377,223,0,136,12104,0.0,0,0
6,72378,223,0,123,12104,0.0,0,0
6,72379,223,0,125,12104,0.0,0,0
6,72380,223,0,123,12104,0.0,0,0
6,72381,223,0,144,12104,0.0,0,0
6,72382,223,0,141,12104,0.0,0,0
6,72383,223,0,146,12104,0.0,0,0
6,72384,223,0,147,12104,0.0,0,0
6,72385,223,0,146,12104,0.0,0,0
6,72386,223,0,134,12104,0.0,0,0
6,72387,223,0,137,12104,0.0,0,0
6,72388,223,0,140,12104,0.0,0,0
6,72389,223,0,137,12104,0.0,0,0
6,72390,223,0,139,12104,0.0,0,0
6,72391,223,0,147,12104,0.0,0,0
6,72392,223,0,147,12104,0.0,0,0
6,72393,223,0,146,12104,0.0,0,0
6,72394,223,0,145,12104,0.0,0,0
6,72395,223,1,112,12110,0.0,0,0
6,72396,223,1,111,12110,0.0,0,0
6,72397,223,1,114,12110,0.0,0,0
6,72398,223,1,121,12110,0.0,0,0
6,72399,223,1,122,12110,0.0,0,0
6,72400,223,1,121,12110,0.0,0,0
6,72401,223,1,129,12110,0.0,0,0
6,72402,223,1,126,12110,0.0,0,0
6,72403,223,1,129,12110,0.0,0,0
6,72404,223,1,161,12110,0.0,0,0
6,72405,223,1,122,12110,0.0,0,0
6,72406,223,1,135,12110,0.0,0,0
6,72407,223,1,125,12110,0.0,0,0
6,72408,223,1,122,12110,0.0,0,0
6,72409,223,1,135,12110,0.0,0,0
6,72410,223,1,122,12110,0.0,0,0
6,72411,223,1,136,12110,0.0,0,0
6,72412,223,1,123,12110,0.0,0,0
6,72413,223,1,131,12110,0.0,0,0
6,72414,223,1,123,12110,0.0,0,0
6,72415,223,1,144,12110,0.0,0,0
6,72416,223,1,141,12110,0.0,0,0
6,72417,223,1,146,12110,0.0,0,0
6,72418,223,1,147,12110,0.0,0,0
6,72419,223,1,146,12110,0.0,0,0
6,72420,223,1,140,12110,0.0,0,0
6,72421,223,1,137,12110,0.0,0,0
6,72422,223,1,140,12110,0.0,0,0
6,72423,223,1,137,12110,0.0,0,0
6,72424,223,1,147,12110,0.0,0,0
6,72425,223,1,147,12110,0.0,0,0
6,72426,223,1,147,12110,0.0,0,0
6,72427,223,1,146,12110,0.0,0,0
6,72428,224,0,170,12104,0.0,0,0
6,72429,224,0,170,12104,0.0,0,0
6,72430,224,0,181,12104,0.0,0,0
6,72431,224,0,181,12104,0.0,0,0
6,72432,224,0,170,12104,0.0,0,0
6,72433,224,0,183,12104,0.0,0,0
6,72434,224,0,171,12104,0.0,0,0
6,72435,224,0,183,12104,0.0,0,0
6,72436,224,0,194,12104,0.0,0,0
6,72437,224,0,172,12104,0.0,0,0
6,72438,224,0,183,12104,0.0,0,0
6,72439,224,0,7143,12104,0.0,0,0
6,72440,224,0,184,12104,0.0,0,0
6,72441,224,0,185,12104,0.0,0,0
6,72442,224,0,188,12104,0.0,0,0
6,72443,224,0,189,12104,0.0,0,0
6,72444,224,0,188,12104,0.0,0,0
6,72445,224,0,185,12104,0.0,0,0
6,72446,224,0,7143,12104,0.0,0,0
6,72447,224,0,7143,12104,0.0,0,0
6,72448,224,1,170,12110,0.0,0,0
6,72449,224,1,170,12110,0.0,0,0
6,72450,224,1,181,12110,0.0,0,0
6,72451,224,1,181,12110,0.0,0,0
6,72452,224,1,170,12110,0.0,0,0
6,72453,224,1,183,12110,0.0,0,0
6,72454,224,1,171,12110,0.0,0,0
